Subject,Movie,pupil_size,MEGA_score,memorysource,recognition_accuracy,what_accuracy,where_accuracy_liberal,when_accuracy
AM32,mov1,-0.056604754,0.168851862,event_memory,1,1,1,0
AM32,mov10,-0.017635215,0.129444013,event_memory,1,1,1,1
AM32,mov11,-0.057463607,0.142150215,scenery_memory,1,0,0,0
AM32,mov12,-0.069217066,-0.095838056,scenery_memory,1,0,0,0
AM32,mov13,0.013805671,0.213516541,event_memory,1,1,1,0
AM32,mov14,0.023711041,-0.041270631,scenery_memory,1,0,0,1
AM32,mov16,-0.058290343,0.074635672,event_memory,1,1,1,1
AM32,mov19,-0.084677918,-0.111753861,event_memory,1,1,1,1
AM32,mov20,-0.060279747,0.012521853,scenery_memory,1,1,0,0
AM32,mov22,-0.108850895,0.014999408,scenery_memory,1,1,0,1
AM32,mov24,-0.081280224,-0.049351109,scenery_memory,1,0,0,1
AM32,mov25,-0.021758194,0.350993665,event_memory,1,1,1,0
AM32,mov26,-0.073418345,0.052421245,scenery_memory,1,1,0,1
AM32,mov27,-0.208802337,0.320964329,event_memory,1,1,1,1
AM32,mov29,-0.261815794,0.16278978,scenery_memory,1,0,1,0
AM32,mov3,-0.124392792,0.269110036,event_memory,1,1,1,1
AM32,mov30,-0.064990383,0.176480307,event_memory,1,1,1,1
AM32,mov31,-0.064019081,0.242941906,event_memory,1,1,1,0
AM32,mov33,-0.027093774,0.16944766,scenery_memory,1,0,0,0
AM32,mov35,-0.098031098,-0.256528547,scenery_memory,1,1,0,1
AM32,mov36,-0.052200435,-0.059423342,event_memory,1,1,1,1
AM32,mov37,-0.034074146,0.155258763,event_memory,1,1,1,0
AM32,mov38,-0.08045939,0.272215789,no_memory,0,1,1,1
AM32,mov39,-0.118196158,0.285601666,scenery_memory,1,0,0,0
AM32,mov4,-0.08870781,0.164445072,scenery_memory,1,0,1,0
AM32,mov40,-0.190803221,0.172371847,scenery_memory,1,0,1,0
AM32,mov41,-0.180569947,0.263784456,event_memory,1,1,1,1
AM32,mov42,0.066166192,-0.003058901,no_memory,0,1,1,0
AM32,mov43,-0.012952857,-0.097262725,no_memory,0,1,0,0
AM32,mov44,-0.05875742,-0.036980827,scenery_memory,1,0,1,0
